model_classes,mean,std
Nearest Neighbors_CvD,0.683928094092, 0.0332049358603
Linear SVM_CvD,0.713788850818, 0.0337899562617
RBF SVM_CvD,0.636796189643, 0.00270733214491
Decision Tree_CvD,0.835337537362, 0.0419451890744
Random Forest_CvD,0.741166982576, 0.0432184968081
AdaBoost_CvD,0.859795326967, 0.025423243407
Naive Bayes_CvD,0.616276032174, 0.0468598843286
Linear Discriminant Analysis_CvD,0.548331753785, 0.0474826367819
Quadratic Discriminant Analysis_CvD,0.451663386066, 0.0746651828171
Nearest Neighbors_PvD,0.673256436546, 0.0586176982892
Linear SVM_PvD,0.671565846434, 0.0624417022355
RBF SVM_PvD,0.567309182046, 0.00416751966434
Decision Tree_PvD,0.842260195944, 0.0515427837046
Random Forest_PvD,0.741637616769, 0.0688337012043
AdaBoost_PvD,0.849276600592, 0.0417537508959
Naive Bayes_PvD,0.69147072226, 0.0497957350026
Linear Discriminant Analysis_PvD,0.520619731146, 0.0655359415488
Quadratic Discriminant Analysis_PvD,0.48327637275, 0.0546380587641
Nearest Neighbors_CvP,0.69434267073, 0.0433280325029
Linear SVM_CvP,0.797463275512, 0.0272319884541
RBF SVM_CvP,0.696857321456, 0.00249888071691
Decision Tree_CvP,0.920757540241, 0.0158916425529
Random Forest_CvP,0.802463275512, 0.0441244111798
AdaBoost_CvP,0.933353258322, 0.023790853827
Naive Bayes_CvP,0.724596616659, 0.0495367006741
Linear Discriminant Analysis_CvP,0.732080793874, 0.0415717365667
Quadratic Discriminant Analysis_CvP,0.497027465229, 0.0947194407477


